Date,Amount,Category,Description,Payment Method
2025-02-17,4812.09,Education,Tuition fee,UPI
2025-01-06,383.81,Travel,Train reservation,Cash
2024-07-23,903.71,Transport,Car maintenance,Net Banking
2024-11-03,4085.94,Transport,Uber ride,Credit Card
2025-05-11,639.56,Entertainment,Movie ticket,Credit Card
2024-06-17,2398.56,Education,Tuition fee,Credit Card
2024-10-07,1708.38,Others,Random expense,Cash
2024-06-19,3479.78,Entertainment,Netflix subscription,Net Banking
2024-09-07,3830.67,Health,Pharmacy purchase,UPI
2024-11-25,1258.05,Others,Stationery,Credit Card
2025-04-10,81.86,Shopping,Mobile accessories,Cash
2024-09-25,4218.52,Entertainment,Game purchase,UPI
2025-02-27,508.65,Utilities,Mobile bill,Cash
2025-04-30,126.55,Transport,Bus fare,UPI
2024-07-23,4086.45,Entertainment,Spotify subscription,Debit Card
2024-12-05,3876.9,Education,Exam registration,UPI
2025-03-04,3450.34,Utilities,Internet recharge,Credit Card
2024-10-21,3771.3,Shopping,Amazon order,UPI
2024-11-08,2251.25,Education,Book purchase,Net Banking
2024-12-04,1202.32,Others,Stationery,Debit Card
2024-07-25,335.85,Transport,Train ticket,Debit Card
2025-03-16,2859.69,Education,Book purchase,Debit Card
2025-01-23,3977.1,Travel,Train reservation,Credit Card
2025-04-06,4537.74,Education,Tuition fee,Credit Card
2024-10-30,3419.1,Entertainment,Netflix subscription,Cash
2024-12-13,3572.09,Utilities,Electricity bill,Debit Card
2025-05-05,4953.65,Travel,Train reservation,Net Banking
2024-09-13,611.54,Others,Laundry,UPI
2024-06-01,434.58,Entertainment,Netflix subscription,Cash
2024-10-28,1785.39,Others,Stationery,Net Banking
2025-03-19,2233.43,Utilities,Water bill,Credit Card
2024-10-03,274.56,Utilities,Mobile bill,Cash
2024-08-08,2105.43,Others,Laundry,Cash
2025-01-26,4087.18,Entertainment,Game purchase,Debit Card
2024-07-24,3603.54,Utilities,Electricity bill,UPI
2025-05-08,4311.4,Travel,Travel insurance,Net Banking
2025-02-28,1154.97,Others,Laundry,UPI
2024-10-06,4723.8,Health,Doctor visit,Credit Card
2024-06-16,2748.79,Entertainment,Movie ticket,UPI
2024-06-26,540.57,Travel,Travel insurance,UPI
2025-03-25,3820.43,Others,Random expense,Net Banking
2025-05-05,2690.78,Transport,Uber ride,Credit Card
2024-05-30,661.71,Travel,Travel insurance,Debit Card
2025-02-17,1532.39,Utilities,Mobile bill,Net Banking
2024-10-30,2193.86,Education,Book purchase,Cash
2024-12-12,4066.67,Health,Pharmacy purchase,Net Banking
2024-05-20,2101.18,Food,Coffee at Starbucks,Debit Card
2025-04-20,4075.55,Education,Exam registration,Debit Card
2025-05-09,2491.91,Utilities,Internet recharge,Credit Card
2024-09-20,279.16,Others,Pet food,Debit Card
2024-10-21,352.55,Entertainment,Movie ticket,Net Banking
2025-02-08,3331.22,Utilities,Electricity bill,Cash
2024-10-11,924.25,Utilities,Mobile bill,UPI
2024-05-23,2472.55,Food,Groceries from Walmart,Net Banking
2024-10-24,223.36,Food,Snacks from 7-Eleven,UPI
2024-07-22,483.38,Utilities,Mobile bill,Credit Card
2024-09-17,4612.21,Health,Doctor visit,Credit Card
2024-07-10,2813.79,Food,Snacks from 7-Eleven,Cash
2024-10-26,3593.52,Shopping,Mobile accessories,Cash
2025-05-03,1314.08,Others,Stationery,Credit Card
2024-07-11,771.85,Food,Snacks from 7-Eleven,Debit Card
2024-05-19,2105.43,Entertainment,Movie ticket,Cash
2024-06-10,3096.9,Travel,Hotel stay,Credit Card
2025-01-02,1354.13,Travel,Hotel stay,Credit Card
2024-10-17,3311.63,Others,Random expense,UPI
2024-12-01,3017.0,Education,Online course,Cash
2024-08-14,922.5,Health,Medical test,Cash
2024-07-03,3404.58,Travel,Hotel stay,UPI
2024-06-17,4251.82,Food,Coffee at Starbucks,UPI
2024-05-27,1245.32,Travel,Train reservation,Cash
2025-05-01,794.97,Health,Medical test,Net Banking
2024-11-14,3218.85,Shopping,New clothes,Cash
2025-05-07,4390.85,Entertainment,Spotify subscription,Net Banking
2024-07-15,3888.23,Transport,Gas refill,Cash
2024-12-08,4090.28,Transport,Uber ride,Debit Card
2024-11-19,3391.5,Food,Lunch at Subway,Net Banking
2024-12-29,1193.7,Utilities,Gas bill,Net Banking
2024-06-24,2166.59,Travel,Hotel stay,Net Banking
2025-04-06,3429.11,Entertainment,Spotify subscription,Net Banking
2024-07-25,1209.7,Shopping,Bought shoes,Cash
2024-10-07,2906.74,Shopping,Amazon order,Cash
2025-02-21,451.63,Health,Pharmacy purchase,Credit Card
2024-11-30,838.41,Transport,Gas refill,Debit Card
2025-03-19,1314.25,Others,Stationery,Net Banking
2024-07-11,526.8,Health,Health insurance,UPI
2025-04-11,3901.88,Travel,Cab from airport,Credit Card
2025-02-15,4922.4,Health,Medical test,Debit Card
2025-02-19,1800.34,Transport,Bus fare,Credit Card
2024-11-20,1002.99,Entertainment,Netflix subscription,UPI
2025-02-14,2927.84,Transport,Train ticket,Debit Card
2024-06-24,4695.89,Entertainment,Concert ticket,UPI
2024-10-08,256.58,Shopping,Amazon order,Debit Card
2025-04-25,2497.73,Others,Laundry,Cash
2024-08-20,4004.96,Health,Gym membership,Net Banking
2024-10-23,2982.31,Transport,Uber ride,UPI
2025-02-10,3902.0,Shopping,New clothes,Debit Card
2024-06-19,109.44,Education,Learning app subscription,Debit Card
2025-04-13,2342.45,Utilities,Water bill,Debit Card
2025-03-22,2442.54,Education,Tuition fee,UPI
2025-01-04,4081.93,Entertainment,Movie ticket,Debit Card
2024-12-22,4979.9,Entertainment,Netflix subscription,UPI
2025-02-03,2867.06,Transport,Bus fare,Credit Card
2024-11-06,3048.21,Entertainment,Netflix subscription,UPI
2024-12-08,3405.03,Food,Lunch at Subway,Credit Card
2025-01-24,959.48,Others,Random expense,Debit Card
2025-01-23,481.83,Entertainment,Spotify subscription,Net Banking
2024-06-25,4701.82,Others,Charity donation,Cash
2024-09-29,699.97,Shopping,New clothes,Cash
2024-12-08,1959.33,Transport,Car maintenance,Credit Card
2024-11-05,4587.96,Travel,Cab from airport,Cash
2024-10-07,3200.3,Health,Pharmacy purchase,UPI
2024-10-02,3263.84,Entertainment,Netflix subscription,UPI
2024-05-31,3574.54,Shopping,Gift shopping,UPI
2025-04-07,4865.12,Transport,Train ticket,Debit Card
2024-10-04,1729.86,Food,Coffee at Starbucks,Cash
2024-12-19,1459.58,Travel,Cab from airport,Net Banking
2025-01-30,458.43,Utilities,Electricity bill,Debit Card
2024-06-14,2174.96,Travel,Cab from airport,Cash
2024-12-07,4000.89,Utilities,Mobile bill,UPI
2024-08-10,1718.95,Others,Random expense,UPI
2024-12-10,4445.41,Transport,Uber ride,Net Banking
2024-11-22,2168.89,Shopping,New clothes,Credit Card
2024-12-21,1423.23,Others,Pet food,Debit Card
2025-03-02,292.63,Travel,Cab from airport,Debit Card
2024-11-24,4088.15,Travel,Cab from airport,Credit Card
2025-03-04,4924.19,Entertainment,Spotify subscription,Net Banking
2025-02-03,2010.28,Others,Pet food,Credit Card
2024-11-05,2271.06,Health,Gym membership,Credit Card
2025-02-27,4981.97,Travel,Hotel stay,Debit Card
2025-04-23,4850.9,Utilities,Water bill,Credit Card
2025-03-08,2240.45,Utilities,Electricity bill,UPI
2024-08-08,814.86,Utilities,Gas bill,Cash
2024-06-27,101.23,Education,Book purchase,UPI
2024-09-02,4994.51,Food,Lunch at Subway,Cash
2024-05-23,2149.54,Entertainment,Spotify subscription,Credit Card
2024-07-09,966.98,Education,Tuition fee,Net Banking
2025-02-10,3605.57,Education,Book purchase,Cash
2024-08-07,152.43,Food,Snacks from 7-Eleven,UPI
2025-02-19,1983.64,Shopping,Amazon order,Net Banking
2024-12-16,1598.83,Travel,Travel insurance,Cash
2025-05-01,801.0,Transport,Train ticket,UPI
2024-08-12,4385.98,Others,Pet food,Net Banking
2024-07-24,2086.22,Education,Tuition fee,Net Banking
2024-07-10,4986.24,Education,Exam registration,Net Banking
2025-02-17,3032.19,Transport,Train ticket,Cash
2024-11-26,3662.2,Shopping,Gift shopping,UPI
2024-11-04,2538.63,Shopping,New clothes,Credit Card
2024-08-12,4212.42,Entertainment,Netflix subscription,UPI
2025-03-09,4043.07,Entertainment,Game purchase,Debit Card
2024-09-17,3831.81,Utilities,Water bill,Credit Card
2024-05-26,1759.04,Food,Dinner at KFC,Net Banking
2024-10-31,398.93,Entertainment,Netflix subscription,Credit Card
2024-10-24,462.05,Entertainment,Game purchase,UPI
2024-10-22,4610.55,Utilities,Gas bill,Credit Card
2024-05-15,1135.3,Shopping,Gift shopping,Debit Card
2024-12-11,4481.19,Shopping,Bought shoes,Net Banking
2025-04-21,155.98,Others,Charity donation,Cash
2025-01-28,1191.2,Others,Charity donation,UPI
2024-12-13,1564.48,Utilities,Gas bill,Credit Card
2025-02-20,1424.42,Entertainment,Game purchase,Net Banking
2024-07-09,3655.48,Entertainment,Spotify subscription,Cash
2025-02-28,161.1,Transport,Gas refill,Debit Card
2024-09-11,509.86,Entertainment,Netflix subscription,Credit Card
2025-02-02,2687.3,Health,Gym membership,Debit Card
2024-12-11,1031.28,Health,Health insurance,Debit Card
2024-09-27,3702.48,Shopping,Mobile accessories,Credit Card
2024-06-21,1812.22,Education,Online course,Net Banking
2024-11-19,1553.78,Entertainment,Spotify subscription,Credit Card
2025-02-21,2209.99,Entertainment,Netflix subscription,Cash
2024-09-21,2196.94,Food,Lunch at Subway,Net Banking
2024-09-14,4885.43,Travel,Cab from airport,UPI
2025-02-03,684.83,Entertainment,Netflix subscription,UPI
2024-09-30,3427.02,Transport,Bus fare,Credit Card
2024-07-17,3363.98,Health,Gym membership,Cash
2025-02-23,4948.77,Utilities,Water bill,UPI
2025-05-04,4304.08,Others,Pet food,Credit Card
2025-04-01,947.13,Health,Health insurance,Cash
2025-02-13,1830.12,Shopping,Bought shoes,Credit Card
2024-07-03,735.96,Entertainment,Spotify subscription,Net Banking
2024-09-29,4528.49,Health,Health insurance,Credit Card
2024-11-15,2193.5,Others,Laundry,Cash
2025-04-03,379.85,Health,Gym membership,UPI
2024-09-19,2497.5,Shopping,Amazon order,Net Banking
2024-07-22,4540.51,Food,Snacks from 7-Eleven,Debit Card
2025-01-09,583.96,Entertainment,Netflix subscription,Net Banking
2024-11-22,384.04,Transport,Car maintenance,Net Banking
2024-11-08,919.18,Transport,Gas refill,Net Banking
2024-06-15,2631.36,Food,Lunch at Subway,Net Banking
2024-11-13,400.83,Utilities,Mobile bill,Cash
2024-11-02,2246.72,Health,Gym membership,Net Banking
2024-10-07,3064.26,Food,Coffee at Starbucks,Debit Card
2025-03-14,2204.12,Travel,Hotel stay,Credit Card
2025-04-19,4813.81,Travel,Flight booking,UPI
2024-10-01,1859.21,Education,Exam registration,Credit Card
2024-07-23,68.0,Transport,Bus fare,Cash
2024-10-15,3953.81,Travel,Travel insurance,Credit Card
2024-11-30,475.22,Entertainment,Movie ticket,Net Banking
2024-05-16,2217.36,Transport,Train ticket,UPI
2024-11-27,447.49,Transport,Gas refill,Net Banking
2025-02-20,1328.33,Health,Medical test,UPI
2024-09-28,2632.48,Education,Exam registration,Debit Card
2024-09-26,1414.38,Food,Snacks from 7-Eleven,UPI
2025-04-30,3956.06,Entertainment,Concert ticket,Credit Card
2024-05-20,283.63,Food,Dinner at KFC,Cash
2024-10-06,3871.19,Health,Health insurance,Net Banking
2024-07-01,3384.2,Entertainment,Movie ticket,Debit Card
2024-10-09,1262.38,Entertainment,Concert ticket,Net Banking
2025-02-10,2406.3,Transport,Uber ride,UPI
2025-03-22,4906.78,Food,Lunch at Subway,UPI
2024-07-12,1465.17,Food,Dinner at KFC,Credit Card
2024-06-05,1925.59,Travel,Cab from airport,Credit Card
2025-01-09,224.41,Shopping,New clothes,Debit Card
2025-04-29,3449.0,Shopping,Gift shopping,Cash
2025-01-30,3864.26,Travel,Travel insurance,Debit Card
2024-11-01,4267.51,Entertainment,Movie ticket,Debit Card
2024-09-23,3758.62,Entertainment,Netflix subscription,Net Banking
2025-02-13,2952.68,Food,Dinner at KFC,Cash
2025-01-08,1141.85,Health,Gym membership,Net Banking
2024-05-12,1799.28,Health,Doctor visit,Cash
2024-07-04,2966.85,Utilities,Mobile bill,Cash
2024-07-01,1327.14,Education,Book purchase,Net Banking
2025-05-07,3249.24,Transport,Bus fare,Debit Card
2024-08-21,3819.54,Travel,Travel insurance,Credit Card
2024-11-07,4770.83,Utilities,Water bill,Cash
2025-04-09,1601.85,Transport,Gas refill,Cash
2025-04-18,3714.13,Food,Dinner at KFC,Cash
2025-04-28,1903.31,Shopping,Bought shoes,Net Banking
2025-03-25,1996.17,Entertainment,Netflix subscription,UPI
2024-09-21,1353.67,Entertainment,Netflix subscription,Cash
2025-03-03,706.4,Transport,Uber ride,Credit Card
2024-09-28,3444.94,Food,Groceries from Walmart,Credit Card
2024-12-01,726.18,Food,Groceries from Walmart,UPI
2025-02-05,1187.04,Food,Lunch at Subway,Net Banking
2024-06-08,4530.56,Food,Lunch at Subway,Credit Card
2024-12-19,2185.11,Transport,Bus fare,UPI
2025-03-27,3469.2,Education,Online course,Cash
2024-05-23,3009.02,Health,Gym membership,Net Banking
2024-10-07,1085.94,Others,Stationery,Cash
2024-12-28,1860.28,Transport,Bus fare,Credit Card
2024-06-19,3409.09,Health,Gym membership,Cash
2024-12-26,4435.63,Travel,Cab from airport,Net Banking
2024-12-22,4825.69,Food,Coffee at Starbucks,Cash
2025-04-01,3560.42,Shopping,New clothes,UPI
2024-06-28,3678.65,Shopping,Gift shopping,UPI
2025-05-09,2927.34,Shopping,Amazon order,Debit Card
2024-06-17,525.22,Health,Pharmacy purchase,Debit Card
2025-03-07,4546.13,Health,Doctor visit,Cash
2024-08-29,1689.82,Others,Laundry,Cash
2025-04-19,4842.11,Education,Tuition fee,UPI
2024-10-08,4407.54,Shopping,New clothes,Net Banking
2025-02-25,1450.13,Education,Learning app subscription,Net Banking
2025-04-24,3797.22,Health,Medical test,Debit Card
2024-10-19,3596.42,Health,Pharmacy purchase,Cash
2024-07-10,381.94,Health,Gym membership,Net Banking
2024-08-09,3576.48,Education,Learning app subscription,UPI
2025-02-11,3012.25,Shopping,Bought shoes,Net Banking
2025-01-21,2051.6,Education,Online course,Cash
2025-02-12,2387.04,Transport,Bus fare,Net Banking
2024-10-02,1591.72,Transport,Car maintenance,Debit Card
2024-09-02,1454.7,Others,Stationery,Debit Card
2024-12-23,2116.58,Health,Doctor visit,Debit Card
2024-11-16,729.07,Travel,Travel insurance,Debit Card
2024-08-17,4021.92,Education,Learning app subscription,Net Banking
2024-10-05,945.93,Travel,Hotel stay,UPI
2025-02-01,4971.29,Utilities,Gas bill,UPI
2025-03-25,2711.41,Food,Coffee at Starbucks,Credit Card
2025-04-06,2164.56,Travel,Train reservation,Cash
2024-05-26,609.94,Health,Health insurance,Debit Card
2025-04-25,4416.09,Travel,Cab from airport,Cash
2024-05-21,4534.22,Others,Charity donation,Net Banking
2025-04-14,3114.84,Others,Stationery,Credit Card
2025-01-20,1855.18,Others,Random expense,UPI
2024-06-08,4355.5,Education,Tuition fee,Net Banking
2025-03-28,1093.58,Health,Gym membership,Cash
2025-02-07,258.98,Education,Exam registration,Debit Card
2024-07-11,1445.7,Entertainment,Netflix subscription,Credit Card
2024-11-28,4193.59,Travel,Hotel stay,Debit Card
2024-09-17,3269.61,Travel,Travel insurance,Net Banking
2025-02-26,1200.57,Transport,Train ticket,Net Banking
2024-12-20,4519.32,Travel,Flight booking,UPI
2025-03-22,4815.89,Food,Coffee at Starbucks,Debit Card
2025-01-19,299.51,Food,Lunch at Subway,Net Banking
2024-05-16,1923.27,Utilities,Electricity bill,Cash
2025-01-24,4955.88,Health,Pharmacy purchase,Net Banking
2025-03-07,1019.46,Education,Exam registration,Debit Card
2024-10-29,1362.74,Food,Coffee at Starbucks,Credit Card
2024-06-25,4500.98,Health,Gym membership,Cash
2025-03-24,1780.13,Others,Pet food,Net Banking
2025-02-05,2819.99,Shopping,Amazon order,Net Banking
2024-11-13,3148.67,Transport,Uber ride,Cash
2024-07-17,4308.63,Health,Pharmacy purchase,Net Banking
2024-09-03,4725.57,Travel,Cab from airport,Cash
2024-05-12,1277.84,Utilities,Electricity bill,Debit Card
2025-04-20,774.42,Food,Lunch at Subway,Debit Card
2024-08-11,415.21,Utilities,Gas bill,Net Banking
2024-12-07,2653.01,Education,Tuition fee,Net Banking
2024-06-18,874.48,Travel,Train reservation,UPI
2024-05-26,685.96,Health,Medical test,UPI
2025-01-02,183.62,Food,Groceries from Walmart,UPI
2024-07-28,1824.53,Travel,Hotel stay,UPI
2025-02-03,1048.01,Health,Medical test,Net Banking
2024-10-31,4744.8,Utilities,Mobile bill,Credit Card
2025-02-13,280.22,Transport,Car maintenance,Cash
2024-10-14,4672.87,Others,Stationery,UPI
2024-08-12,1858.08,Shopping,Gift shopping,Net Banking
2024-07-19,3294.48,Health,Pharmacy purchase,UPI
2025-03-18,2560.24,Others,Stationery,UPI
2025-03-27,1837.71,Utilities,Mobile bill,Net Banking
2024-07-18,3659.25,Entertainment,Game purchase,Debit Card
2024-12-13,3454.13,Travel,Train reservation,Credit Card
2025-04-17,1210.65,Education,Book purchase,Debit Card
2024-05-19,2577.7,Education,Learning app subscription,Debit Card
2024-06-25,2467.93,Health,Doctor visit,Credit Card
2025-01-30,2898.47,Transport,Car maintenance,Cash
2024-10-19,551.9,Travel,Cab from airport,Cash
2025-03-13,3986.04,Travel,Train reservation,Cash
2024-06-04,4092.75,Travel,Hotel stay,Cash
2025-03-09,4245.23,Travel,Cab from airport,Net Banking
2025-03-11,1101.16,Shopping,Gift shopping,Credit Card
2024-05-28,1605.78,Health,Health insurance,Cash
2025-04-19,1925.75,Food,Coffee at Starbucks,Net Banking
2024-10-06,401.82,Travel,Travel insurance,Credit Card
2024-09-12,3704.28,Shopping,Gift shopping,Credit Card
2025-01-01,336.92,Travel,Cab from airport,Net Banking
2025-02-07,3248.02,Shopping,Gift shopping,UPI
2024-09-28,3188.39,Shopping,New clothes,Cash
2025-04-24,189.77,Utilities,Mobile bill,Net Banking
2025-02-02,2644.8,Transport,Train ticket,Debit Card
2024-08-02,2823.37,Health,Health insurance,UPI
2025-03-15,915.22,Travel,Travel insurance,Cash
2024-07-29,4116.62,Transport,Bus fare,Debit Card
2025-04-01,2992.87,Food,Coffee at Starbucks,Net Banking
2025-05-01,3443.84,Travel,Travel insurance,Credit Card
2024-06-01,3924.63,Entertainment,Movie ticket,Cash
2024-12-12,3124.0,Transport,Bus fare,UPI
2025-02-16,1866.08,Utilities,Internet recharge,Net Banking
2024-10-30,2096.85,Education,Learning app subscription,Cash
2024-11-01,3928.49,Travel,Train reservation,Credit Card
2024-06-29,3407.89,Health,Health insurance,Net Banking
2024-08-27,2103.63,Education,Book purchase,Debit Card
2024-10-18,779.25,Transport,Car maintenance,Net Banking
2024-12-08,3423.26,Travel,Cab from airport,Net Banking
2025-04-14,4127.28,Health,Medical test,Credit Card
2024-06-26,4004.36,Entertainment,Concert ticket,Cash
2025-02-09,1436.44,Transport,Car maintenance,Net Banking
2024-11-28,808.39,Education,Exam registration,Debit Card
2024-11-20,2498.58,Health,Gym membership,UPI
2024-08-10,2103.92,Transport,Train ticket,Credit Card
2024-11-25,4975.06,Others,Charity donation,Net Banking
2024-08-03,2072.64,Shopping,Mobile accessories,Cash
2025-01-29,597.2,Others,Pet food,Net Banking
2024-12-06,4499.31,Health,Pharmacy purchase,UPI
2025-04-27,2725.07,Shopping,Amazon order,Credit Card
2024-07-14,2833.33,Transport,Train ticket,UPI
2025-02-23,2597.01,Education,Learning app subscription,UPI
2025-03-27,2598.42,Utilities,Gas bill,Credit Card
2025-04-24,4801.24,Education,Book purchase,UPI
2024-07-08,1860.6,Education,Tuition fee,UPI
2024-09-21,1797.1,Shopping,Amazon order,Cash
2024-08-18,2410.12,Others,Pet food,Net Banking
2025-05-02,4952.36,Utilities,Internet recharge,Credit Card
2025-01-12,3200.51,Entertainment,Game purchase,Debit Card
2025-02-27,1385.24,Others,Pet food,Cash
2024-12-11,324.81,Others,Random expense,Net Banking
2024-12-12,4571.25,Shopping,New clothes,Credit Card
2025-04-06,2361.65,Transport,Uber ride,Net Banking
2024-11-21,4447.68,Education,Book purchase,Cash
2025-05-07,1785.63,Education,Exam registration,Debit Card
2024-07-09,2057.98,Shopping,Bought shoes,Debit Card
2024-06-22,4640.72,Shopping,New clothes,Debit Card
2024-09-19,2560.88,Utilities,Internet recharge,Cash
2025-02-15,926.2,Education,Book purchase,Net Banking
2024-10-01,392.69,Health,Gym membership,Net Banking
2024-09-28,2792.45,Entertainment,Game purchase,Cash
2024-08-06,3239.17,Education,Learning app subscription,UPI
2024-06-16,2563.99,Education,Online course,Cash
2024-09-13,4592.91,Food,Lunch at Subway,UPI
2024-07-29,2726.18,Food,Coffee at Starbucks,Debit Card
2024-09-12,4309.81,Health,Health insurance,UPI
2024-11-21,1027.29,Transport,Train ticket,Net Banking
2024-05-13,2465.72,Entertainment,Spotify subscription,Credit Card
2024-06-13,2119.05,Transport,Train ticket,Credit Card
2024-10-28,289.6,Travel,Cab from airport,Debit Card
2024-05-16,4996.31,Others,Pet food,UPI
2024-11-07,3828.95,Others,Stationery,Credit Card
2024-10-11,561.6,Health,Medical test,Net Banking
2024-05-28,1376.98,Transport,Gas refill,UPI
2024-10-06,2416.59,Entertainment,Netflix subscription,Credit Card
2024-07-25,4207.06,Shopping,Amazon order,Credit Card
2024-12-27,2224.25,Health,Pharmacy purchase,UPI
2024-11-02,1119.13,Others,Laundry,UPI
2024-10-07,4464.2,Health,Gym membership,Cash
2024-09-14,803.31,Utilities,Water bill,Cash
2024-09-13,2233.78,Utilities,Mobile bill,Credit Card
2025-01-23,1182.9,Utilities,Electricity bill,UPI
2024-10-22,4560.94,Transport,Car maintenance,Credit Card
2024-08-29,3754.02,Shopping,Mobile accessories,Debit Card
2024-11-03,2335.49,Shopping,Mobile accessories,Cash
2024-10-15,1640.06,Travel,Travel insurance,Net Banking
2025-02-18,4370.96,Utilities,Internet recharge,Credit Card
2025-03-12,853.85,Shopping,Amazon order,Credit Card
2025-03-28,2110.63,Travel,Travel insurance,Debit Card
2025-05-11,2125.94,Others,Charity donation,Net Banking
2024-07-07,3481.53,Travel,Hotel stay,Net Banking
2024-09-16,2548.49,Utilities,Electricity bill,Credit Card
2024-10-23,791.04,Health,Pharmacy purchase,Debit Card
2024-07-20,4694.45,Entertainment,Concert ticket,Credit Card
2024-09-08,2667.36,Education,Online course,Cash
2025-03-15,137.41,Food,Snacks from 7-Eleven,UPI
2025-04-21,2914.46,Health,Doctor visit,Net Banking
2024-11-14,2029.47,Utilities,Electricity bill,Cash
2024-10-08,832.17,Utilities,Gas bill,Credit Card
2024-07-07,3669.1,Utilities,Internet recharge,Cash
2025-03-25,4188.69,Education,Tuition fee,Debit Card
2024-12-22,2905.6,Health,Pharmacy purchase,Cash
2024-06-14,2971.83,Shopping,Bought shoes,Cash
2024-06-21,3377.4,Transport,Uber ride,Cash
2024-08-23,4346.5,Health,Gym membership,UPI
2024-10-21,2202.15,Travel,Cab from airport,UPI
2024-07-04,4525.03,Shopping,Gift shopping,Credit Card
2024-11-11,2994.02,Others,Pet food,UPI
2024-10-19,859.17,Travel,Cab from airport,Debit Card
2024-05-26,4340.78,Food,Snacks from 7-Eleven,Credit Card
2024-12-30,2563.16,Travel,Travel insurance,Net Banking
2025-05-03,2854.68,Others,Pet food,Credit Card
2025-01-19,2558.7,Education,Online course,Net Banking
2025-04-23,3355.84,Entertainment,Game purchase,Net Banking
2024-06-21,288.07,Transport,Uber ride,Credit Card
2024-06-29,2569.63,Transport,Bus fare,Cash
2024-09-06,2781.49,Utilities,Gas bill,Debit Card
2025-01-30,1036.13,Entertainment,Concert ticket,Credit Card
2025-01-18,1453.66,Shopping,Mobile accessories,Debit Card
2025-05-10,2795.53,Shopping,Amazon order,Net Banking
2024-08-24,3827.08,Transport,Car maintenance,Debit Card
2024-11-06,3434.66,Transport,Train ticket,Net Banking
2025-05-09,4119.68,Others,Stationery,Credit Card
2024-08-19,1911.31,Utilities,Mobile bill,Cash
2025-03-12,3506.41,Utilities,Internet recharge,UPI
2024-06-04,1059.54,Transport,Uber ride,Credit Card
2024-07-27,2719.34,Others,Random expense,Credit Card
2025-03-19,2560.83,Health,Medical test,Net Banking
2025-03-18,3806.98,Others,Pet food,Net Banking
2024-12-01,1687.21,Travel,Flight booking,Credit Card
2024-11-24,1137.85,Food,Lunch at Subway,Debit Card
2025-02-08,3308.93,Travel,Hotel stay,UPI
2024-12-04,1192.09,Others,Laundry,Credit Card
2025-01-30,2907.76,Others,Pet food,Cash
2025-02-16,796.48,Food,Dinner at KFC,UPI
2024-12-09,4832.94,Transport,Uber ride,Net Banking
2024-12-29,1990.8,Shopping,Gift shopping,Debit Card
2024-07-01,4469.91,Entertainment,Game purchase,UPI
2024-10-26,4177.68,Food,Dinner at KFC,UPI
2024-06-17,2080.83,Entertainment,Game purchase,Credit Card
2025-04-18,2100.8,Travel,Hotel stay,Net Banking
2024-06-09,3703.04,Education,Book purchase,Debit Card
2025-01-17,4624.6,Others,Stationery,Cash
2024-10-10,3560.8,Education,Online course,Cash
2024-05-20,97.46,Transport,Train ticket,Debit Card
2025-03-13,2365.11,Education,Learning app subscription,Debit Card
2024-12-13,2956.49,Utilities,Gas bill,UPI
2024-12-13,231.76,Shopping,Gift shopping,Cash
2024-08-07,4803.61,Health,Gym membership,UPI
2025-02-18,3588.89,Travel,Flight booking,Debit Card
2024-10-23,2883.88,Others,Charity donation,Credit Card
2024-06-21,3901.23,Utilities,Gas bill,Cash
2024-07-26,520.24,Shopping,New clothes,Debit Card
2024-12-06,3232.26,Others,Random expense,Cash
2024-08-18,2150.24,Food,Snacks from 7-Eleven,Credit Card
2024-06-19,2659.6,Travel,Hotel stay,Cash
2025-05-11,3420.03,Utilities,Water bill,Debit Card
2024-09-05,3978.49,Food,Snacks from 7-Eleven,Net Banking
2024-06-16,2328.85,Utilities,Gas bill,Credit Card
2025-03-23,4244.67,Education,Book purchase,Cash
2024-11-09,3744.72,Utilities,Internet recharge,UPI
2024-11-01,256.74,Food,Coffee at Starbucks,Debit Card
2025-01-18,1611.52,Travel,Travel insurance,Net Banking
2024-12-20,3592.56,Entertainment,Game purchase,Credit Card
2025-01-13,4666.72,Travel,Train reservation,Credit Card
2025-04-01,2564.34,Transport,Bus fare,Credit Card
2024-07-05,1662.27,Transport,Uber ride,Cash
2024-12-05,4208.36,Health,Pharmacy purchase,UPI
2024-11-06,173.84,Health,Health insurance,Credit Card
2025-03-07,935.02,Others,Stationery,Debit Card
2024-09-19,3307.99,Education,Exam registration,Credit Card
2024-07-25,2363.46,Education,Online course,Cash
2024-07-23,684.82,Education,Exam registration,Debit Card
2025-01-07,1301.25,Travel,Flight booking,Credit Card
2024-10-24,3317.5,Health,Health insurance,Credit Card
2025-01-28,2438.29,Education,Online course,Cash
2025-04-21,4508.19,Others,Pet food,Cash
2024-08-17,314.46,Health,Gym membership,Credit Card
2025-01-26,4635.72,Utilities,Mobile bill,Net Banking
2025-01-18,714.67,Others,Stationery,Net Banking
2024-12-05,2141.04,Entertainment,Game purchase,Credit Card
2024-08-29,513.96,Education,Book purchase,Net Banking
2025-02-20,2619.58,Entertainment,Spotify subscription,Net Banking
2024-06-02,3353.34,Shopping,Mobile accessories,Cash
2024-12-12,801.4,Shopping,Mobile accessories,UPI
2025-04-11,2165.27,Transport,Gas refill,UPI
2024-09-07,4344.21,Shopping,Gift shopping,Cash
2024-07-28,624.17,Transport,Uber ride,UPI
2024-09-21,1709.16,Others,Laundry,Cash
2024-05-18,3646.26,Transport,Bus fare,Cash
